No,District,Name,Tel,Address
82,新莊區,新北市新莊區新泰國民小學附設幼兒園,(02)29971005#117,[242]新北市新莊區忠孝里27鄰公園一路91號
83,新莊區,新北市新莊區裕民國民小學附設幼兒園,(02)29062407#38,[242]新北市新莊區裕民里21鄰裕民街123號
84,新莊區,新北市新莊區新莊國民小學附設幼兒園,(02)29931201#804,[242]新北市新莊區立人里1鄰中正路86號
85,新莊區,新北市立頭前國民中學附設幼兒園,(02)85222862#605,[242]新北市新莊區和平里21鄰中原路2號
86,新莊區,新北市新莊區中港國民小學附設幼兒園,(02)89790730#900,[242]新北市新莊區立志里11鄰中港一街142號
87,新莊區,新北市新莊區國泰國民小學附設幼兒園,(02)29043693#601,[242]新北市新莊區營盤里1鄰中正路386號
88,新莊區,新北市新莊區光華國民小學附設幼兒園,(02)22058866#855,[242]新北市新莊區光明里1鄰龍安路452號
89,新莊區,新北市新莊區思賢國民小學附設幼兒園,(02)29980443#806,[242]新北市新莊區自立里9鄰自立街229號
90,新莊區,新北市新莊區丹鳳國民小學附設幼兒園,(02)29035355#151,[242]新北市新莊區雙鳳里14鄰新北大道七段437號
91,新莊區,新北市立新莊幼兒園,(02)29911476,[242]新北市新莊區中華里14鄰中港路350號
92,新莊區,新北市新莊區中信國民小學附設幼兒園,(02)85211131#603,[242]新北市新莊區中原里1鄰中信街168號
93,新莊區,新北市立新泰國民中學附設幼兒園,(02)29960745#700,[242]新北市新莊區立泰里14鄰新泰路359號
94,新莊區,新北市立新莊幼兒園中心分班,(02)29089162,[242]新北市新莊區福營里14鄰福營路277號
95,新莊區,新北市新莊區興化國民小學附設幼兒園,(02)22991001#108,[242]新北市新莊區福興里2鄰五工二路50巷2號
96,新莊區,新北市新莊區昌隆國民小學附設幼兒園,(02)29962351#811,[242]新北市新莊區昌隆里6鄰昌隆街63號
97,新莊區,新北市新莊區榮富國民小學附設幼兒園,(02)22769020#871,[242]新北市新莊區中平里7鄰中和街193號
98,新莊區,新北市立新莊幼兒園三合分班,(02)22030814,[242]新北市新莊區泰豐里6鄰瓊林路34號
99,新莊區,新北市新莊區民安國民小學附設幼兒園,(02)22056777#91.92,[242]新北市新莊區民全里1鄰民安路261號
100,新店區,新北市新店區大豐國民小學附設幼兒園,(02)22190159#21,[231]新北市新店區大豐里17鄰民族路108號
101,新店區,新北市立安康高級中學附設幼兒園,(02)2211-1743#830,[231]新北市新店區柴埕里30鄰安興路25號
102,新店區,新北市新店區新和國民小學附設幼兒園,(02)29400170#860,[231]新北市新店區永安里3鄰安和路三段100號
103,新店區,新北市新店區安坑國民小學附設幼兒園,(02)22119759#19,[231]新北市新店區公崙里17鄰安忠路36號
104,新店區,新北市立新店幼兒園雙城分班,(02)22150154,[231]新北市新店區雙城里7鄰安康路三段165巷2弄29號
105,新店區,新北市新店區雙城國民小學附設幼兒園,(02)22156511#310,[231]新北市新店區雙城里11鄰安康路3段322號
106,新店區,新北市新店區青潭國民小學附設幼兒園,(02)22173146#250,[231]新北市新店區美潭里3鄰北宜路二段八十號
107,新店區,新北市新店區雙峰國民小學附設幼兒園,(02)22174543#107,[231]新北市新店區雙坑里1鄰北宜路三段66號
108,新店區,新北市新店區屈尺國民小學附設幼兒園,(02)26667490#15,[231]新北市新店區屈尺里10鄰屈尺路55號
109,新店區,新北市新店區龜山國民小學附設幼兒園,(02)26667317#21,[231]新北市新店區龜山里3鄰新烏路3段99巷10號
110,新店區,新北市新店區直潭國民小學附設幼兒園,(02)26667278#806,[231]新北市新店區直潭里20鄰直潭路92號
111,新店區,新北市立新店幼兒園新店分班,(02)29110175,[231]新北市新店區新店里11鄰新店路207號1、2樓
112,新店區,新北市新店區新店國民小學附設幼兒園,(02)29103483#803,[231]新北市新店區國校里10鄰新店路2號
113,新店區,新北市新店區北新國民小學附設幼兒園,(02)29189300#134,[231]新北市新店區張北里9鄰寶橋路8號
114,新店區,新北市立五峰國民中學附設幼兒園,(02)29112005#324,[231]新北市新店區五?里3鄰中興路一段253號
115,新店區,新北市新店區中正國民小學附設幼兒園,(02)29125432#851,[231]新北市新店區中正里22鄰三民路36號
116,新店區,新北市立新店幼兒園和平分班,(02)22180160,[231]新北市新店區和平里10鄰民生路147號
117,新店區,新北市立新店幼兒園,(02)29419045,[231]新北市新店區新和里12鄰新和街109號1、2樓
118,樹林區,新北市樹林區三多國民小學附設幼兒園,(02)26880698#160,[238]新北市樹林區三福里23鄰三福街52號
119,樹林區,新北市立樹林幼兒園圳安分班,(02)26837375,[238]新北市樹林區圳安里1鄰俊英街98之1號
120,樹林區,新北市樹林區文林國民小學附設幼兒園,(02)26812625#880,[238]新北市樹林區潭底里32鄰千歲街59號
121,樹林區,新北市樹林區樹林國民小學附設幼兒園,(02)26812014#122,[238]新北市樹林區樹西里13鄰育英街176號
122,樹林區,新北市立樹林幼兒園,(02)26838354,[238]新北市樹林區樹南里3鄰文化街15號
123,樹林區,新北市樹林區育林國民小學附設幼兒園,(02)26832112#602,[238]新北市樹林區樹南里14鄰復興路395號
124,樹林區,新北市樹林區大同國民小學附設幼兒園,(02)86865486#616,[238]新北市樹林區大同里2鄰大同街43號
125,樹林區,新北市立樹林幼兒園彭厝分班,(02)86843370,[238]新北市樹林區大同里4鄰太平路56巷43號
126,樹林區,新北市樹林區彭福國民小學附設幼兒園,(02)86866589#106,[238]新北市樹林區和平里11鄰忠孝街30號
127,樹林區,新北市立柑園國民中學附設幼兒園,(02)26801958#101,[238]新北市樹林區柑園里6鄰柑園街2段125號
128,樹林區,新北市樹林區武林國民小學附設幼兒園,(02)26871152,[238]新北市樹林區金寮里8鄰保安街二段151號
129,樹林區,新北市樹林區山佳國民小學附設幼兒園,(02)26806673#863,[238]新北市樹林區山佳里15鄰中山路三段5號
130,樹林區,新北市樹林區育德國民小學附設幼兒園,(02)26805557#140,[238]新北市樹林區中山里5鄰佳園路一段34號
131,樹林區,新北市立樹林幼兒園山佳分班,(02)26805142,[238]新北市樹林區中山里1鄰中山路三段40號
132,鶯歌區,新北市立鶯歌國民中學附設幼兒園,(02)26701461#266,[239]新北市鶯歌區同慶里13鄰尖山埔路108號
133,鶯歌區,新北市鶯歌區鶯歌國民小學附設幼兒園,(02)26792038#251,[239]新北市鶯歌區同慶里1鄰尖山埔路106號
134,鶯歌區,新北市立尖山國民中學附設幼兒園,(02)26771462,[239]新北市鶯歌區尖山里16鄰國中街1號
135,鶯歌區,新北市鶯歌區二橋國民小學附設幼兒園,(02)26792364#271,[239]新北市鶯歌區二橋里2鄰中正三路106號
136,鶯歌區,新北市立鳳鳴國民中學附設幼兒園,(02)26780609#232,[239]新北市鶯歌區鳳鳴里16鄰永和街33號
137,鶯歌區,新北市鶯歌區鳳鳴國民小學附設幼兒園,(02)26797554#501,[239]新北市鶯歌區鳳鳴里18鄰永和街120號
138,鶯歌區,新北市鶯歌區永吉國民小學附設幼兒園,(02)26704177#601,[239]新北市鶯歌區永吉里4鄰德昌二街2號
139,鶯歌區,新北市鶯歌區中湖國民小學附設幼兒園,(02)86775640,[239]新北市鶯歌區中湖里9鄰中湖街25號
140,鶯歌區,新北市立鶯歌幼兒園,(02)26781259#18,[239]新北市鶯歌區中湖里7鄰大湖路336號
141,鶯歌區,新北市鶯歌區建國國民小學附設幼兒園,(02)26709228#160,[239]新北市鶯歌區建國里18鄰育英街2號
142,三峽區,新北市三峽區三峽國民小學附設幼兒園,(02)26711018#850,[237]新北市三峽區永?里16鄰中山路16號
143,三峽區,新北市立三峽國民中學附設幼兒園,(02)26711043#300,[237]新北市三峽區鳶山里6鄰復興路238號
144,三峽區,新北市立三峽幼兒園龍埔分班,(02)26733873,[237]新北市三峽區龍埔里6鄰三樹路214巷9號
145,三峽區,新北市三峽區大埔國民小學附設幼兒園,(02)26712523#140,[237]新北市三峽區大埔里17鄰大埔路130號
146,三峽區,新北市三峽區民義國民小學附設幼兒園,(02)26711895#841,[237]新北市三峽區嘉添里2鄰白雞路40號
147,三峽區,新北市三峽區五寮國民小學附設幼兒園,(02)26720298#30,[237]新北市三峽區五寮里14鄰69號
148,三峽區,新北市三峽區插角國民小學附設幼兒園,(02)26720230#840,[237]新北市三峽區插角里14鄰39號
149,三峽區,新北市立三峽幼兒園中興分班,(02)86763332#28,[237]新北市三峽區溪南里7鄰介壽路二段136巷63號
150,三峽區,新北市立三峽幼兒園,(02)86762565,[237]新北市三峽區溪東里10鄰溪東路218巷1號2樓
151,三峽區,新北市三峽區建安國民小學附設幼兒園,(02)26726783#105,[237]新北市三峽區安坑里15鄰建安路67號
152,三峽區,新北市三峽區介壽國民小學附設幼兒園,(02)26712392#60,[237]新北市三峽區介壽里21鄰大同路1號
153,三峽區,新北市立安溪國民中學附設幼兒園,(02)26717851#501,[237]新北市三峽區中正里14鄰大同路135號
154,淡水區,新北市淡水區中泰國民小學附設幼兒園,(02)28012033#123,[251]新北市淡水區中和里9鄰北勢子5號
155,淡水區,新北市淡水區屯山國民小學附設幼兒園,(02)28012591#850,[251]新北市淡水區屯山里6鄰淡金路5段111號
156,淡水區,新北市淡水區興仁國民小學附設幼兒園,(02)26262151,[251]新北市淡水區興仁里4鄰興仁路101巷10號
157,淡水區,新北市立忠山實驗小學附設幼兒園,(02)26216139#850,[251]新北市淡水區忠山里16鄰行忠路899號
158,淡水區,新北市淡水區育英國民小學附設幼兒園,(02)26214390#114,[251]新北市淡水區埤島里4鄰埤頭14號
159,淡水區,新北市淡水區新興國民小學附設幼兒園,(02)26203646#850,[251]新北市淡水區新興里21鄰新興街123號
160,淡水區,新北市立淡水幼兒園,(02)26203130#35,[251]新北市淡水區水碓里17鄰中山北路1段158號1樓
161,淡水區,新北市淡水區新市國民小學附設幼兒園,(02)26262141#860,[251]新北市淡水區北投里17鄰中山北路2段200號1樓
162,淡水區,新北市淡水區水源國民小學附設幼兒園,(02)26211347#14,[251]新北市淡水區水源里9鄰北新路2段15號
163,淡水區,新北市淡水區坪頂國民小學附設幼兒園,(02)86263105#14,[251]新北市淡水區坪頂里3鄰小坪頂18號
164,淡水區,新北市立淡水幼兒園福德分班,(02)28098643,[251]新北市淡水區福德里17鄰自強路201巷43號1樓、45號1樓、47號1樓
165,淡水區,新北市立淡水幼兒園竹圍分班,(02)28097563#11,[251]新北市淡水區民生里19鄰民生路27號1、2、3樓
166,淡水區,新北市淡水區竹圍國民小學附設幼兒園,(02)28091475#72,[251]新北市淡水區八勢里2鄰中正東路2段145號
167,淡水區,新北市淡水區淡水國民小學附設幼兒園,(02)26212755#140,[251]新北市淡水區協元里4鄰中山路160號
168,淡水區,新北市淡水區文化國民小學附設幼兒園,(02)26299775#873,[251]新北市淡水區文化里8鄰真理街6號1樓
169,淡水區,新北市立淡水國民中學附設幼兒園,(02)26212758#27,[251]新北市淡水區文化里10鄰真理街10號
170,淡水區,新北市淡水區天生國民小學附設幼兒園,(02)28052695#852,[251]新北市淡水區油車里12鄰淡海路72巷26號
171,淡水區,新北市淡水區鄧公國民小學附設幼兒園,(02)26297121#160,[251]新北市淡水區學府里4鄰學府路99號
172,汐止區,新北市汐止區汐止國民小學附設幼兒園,(02)26477271#602,[221]新北市汐止區智慧里7鄰大同路二段313號
173,汐止區,新北市汐止區崇德國民小學附設幼兒園,(02)86489616,[221]新北市汐止區茄苳里1鄰茄苳路158號
174,汐止區,新北市汐止區長安國民小學附設幼兒園,(02)86477275,[221]新北市汐止區長安里11鄰長興街1段80號
175,汐止區,新北市汐止區保長國民小學附設幼兒園,(02)86482502#140,[221]新北市汐止區保安里8鄰大同路三段553號
176,汐止區,新北市汐止區北港國民小學附設幼兒園,(02)26463107,[221]新北市汐止區拱北里13鄰汐萬路二段279號
177,汐止區,新北市汐止區金龍國民小學附設幼兒園,(02)26959941#270,[221]新北市汐止區北峰里6鄰明峰街201號
178,汐止區,新北市汐止區白雲國民小學附設幼兒園,(02)26403909#840,[221]新北市汐止區福山里6鄰民權街二段90號
179,汐止區,新北市汐止區北峰國民小學附設幼兒園,(02)26941817#270,[221]新北市汐止區中興里32鄰環河街1號
180,汐止區,新北市汐止區樟樹國民小學附設幼兒園,(02)26421407#5601,[221]新北市汐止區厚德里6鄰樟樹一路141巷2號
181,汐止區,新北市立青山國民中小學附設幼兒園,(02)26917875#289,[221]新北市汐止區自強里20鄰莊敬街33號
182,汐止區,新北市汐止區秀峰國民小學附設幼兒園,(02)26480611#807,[221]新北市汐止區秀山里5鄰仁愛路90號
183,瑞芳區,新北市瑞芳區瑞芳國民小學附設幼兒園,(02)24972058#155,[224]新北市瑞芳區龍潭里10鄰中山路2號
184,瑞芳區,新北市瑞芳區義方國民小學附設幼兒園,(02)24970922,[224]新北市瑞芳區龍山里10鄰逢甲路360號
185,瑞芳區,新北市立瑞芳幼兒園爪峰分班,(02)24979954,[224]新北市瑞芳區爪?里5鄰三爪子坑路66之6號
186,瑞芳區,新北市瑞芳區瑞柑國民小學附設幼兒園,(02)24971009#31,[224]新北市瑞芳區柑坪里12鄰明燈路1段18巷13號
187,瑞芳區,新北市立瑞芳幼兒園,(02)24979946,[224]新北市瑞芳區東和里1鄰中山路48號之10
188,瑞芳區,新北市瑞芳區瑞亭國民小學附設幼兒園,(02)24971726#205,[224]新北市瑞芳區上天里3鄰四腳亭埔路23號
189,瑞芳區,新北市瑞芳區吉慶國民小學附設幼兒園,(02)24576405#650,[224]新北市瑞芳區吉安里6鄰大埔路95號
190,瑞芳區,新北市瑞芳區猴硐國民小學附設幼兒園,(02)24960450#120,[224]新北市瑞芳區弓橋里2鄰九芎橋路69-1號
191,瑞芳區,新北市瑞芳區九份國民小學附設幼兒園,(02)24972263#28,[224]新北市瑞芳區永慶里10鄰崙頂路145號
192,瑞芳區,新北市瑞芳區瓜山國民小學附設幼兒園,(02)24962036#207,[224]新北市瑞芳區石山里4鄰五號路306號
193,瑞芳區,新北市瑞芳區濂洞國民小學附設幼兒園,(02)24961330#21,[224]新北市瑞芳區?洞里11鄰洞頂路101巷80號
194,瑞芳區,新北市瑞芳區瑞濱國民小學附設幼兒園,(02)24978184#141,[224]新北市瑞芳區瑞濱里4鄰瑞濱路34號
195,瑞芳區,新北市瑞芳區鼻頭國民小學附設幼兒園,(02)24911571#18,[224]新北市瑞芳區鼻頭里5鄰鼻頭路99號
196,瑞芳區,新北市立瑞芳國民中學附設幼兒園,(02)24972145#234,[224]新北市瑞芳區新峰里2鄰三爪子坑路1號
197,土城區,新北市土城區土城國民小學附設幼兒園,(02)22700177#881,[236]新北市土城區埤塘里12鄰興城路17號
198,土城區,新北市土城區樂利國民小學附設幼兒園,(02)22662568#860,[236]新北市土城區日新里11鄰裕生路65號
199,土城區,新北市立土城幼兒園清水分班,(02)82625344,[236]新北市土城區清和里1鄰青雲路368號2、3樓
200,土城區,新北市土城區清水國民小學附設幼兒園,(02)22618316#880,[236]新北市土城區清溪里36鄰金城路二段356號
201,土城區,新北市立土城國民中學附設幼兒園,(02)22675135#110,[236]新北市土城區永寧里4鄰永寧路18號
202,土城區,新北市土城區頂埔國民小學附設幼兒園,(02)22686800#874,[236]新北市土城區頂福里20鄰中央路四段205號
203,土城區,新北市立土城幼兒園大頂埔分班,(02)22682948,[236]新北市土城區頂福里17鄰中州路28巷30號3樓
204,土城區,新北市土城區廣福國民小學附設幼兒園,(02)22626782#600,[236]新北市土城區廣福里18鄰學府路一段127號
205,土城區,新北市土城區安和國民小學附設幼兒園,(02)22610943,[236]新北市土城區安和里16鄰延和路23號
206,土城區,新北市立土城幼兒園,(02)22607244,[236]新北市土城區中正里16鄰裕民路193之1號
207,蘆洲區,新北市蘆洲區忠義國民小學附設幼兒園,(02)22899591#129,[247]新北市蘆洲區正義里3鄰光榮路99號
208,蘆洲區,新北市立蘆洲國民中學附設幼兒園,(02)22811571#515,[247]新北市蘆洲區中原里5鄰中正路265號
209,蘆洲區,新北市蘆洲區仁愛國民小學附設幼兒園,(02)2283-8815#870,[247]新北市蘆洲區水湳里15鄰民族路488號
210,蘆洲區,新北市蘆洲區鷺江國民小學附設幼兒園,(02)22819980#602,[247]新北市蘆洲區鷺江里16鄰民族路7號
211,蘆洲區,新北市蘆洲區蘆洲國民小學附設幼兒園,(02)22816202#108,[247]新北市蘆洲區保和里15鄰中正路100號
212,蘆洲區,新北市立蘆洲幼兒園,(02)82852747,[247]新北市蘆洲區永樂里3鄰永平街1號2樓
213,蘆洲區,新北市蘆洲區成功國民小學附設幼兒園,(02)22858998#890,[247]新北市蘆洲區成功里27鄰長安街311號
214,五股區,新北市五股區更寮國民小學附設幼兒園,(02)29824591#600,[248]新北市五股區興珍里1鄰四維路2號
215,五股區,新北市立五股幼兒園更新分班,(02)29826950#11,[248]新北市五股區更寮里8鄰更洲路47號2樓
216,五股區,新北市五股區成州國民小學附設幼兒園,(02)22933613#70,[248]新北市五股區成州里10鄰成泰路三段493號
217,五股區,新北市立五股幼兒園成州分班,(02)22951914,[248]新北市五股區成州里22鄰西雲路225巷4號1樓
218,五股區,新北市立五股幼兒園,(02)22936620,[248]新北市五股區成功里22鄰西雲路165號2樓、3樓
219,五股區,新北市五股區五股國民小學附設幼兒園,(02)22917191#842,[248]新北市五股區五股里1鄰成泰路二段49號
220,五股區,新北市立五股幼兒園德音分班,(02)82959856,[248]新北市五股區德音里9鄰蓬萊路6巷45號1樓
221,五股區,新北市立五股幼兒園陸一分班,(02)82923039,[248]新北市五股區陸一里9鄰六合街70號1樓
222,五股區,新北市五股區德音國民小學附設幼兒園,(02)22924152#890,[248]新北市五股區水碓里25鄰明德路2號
223,五股區,新北市立五股幼兒園水碓分班,(02)22925032,[248]新北市五股區水碓里31鄰水碓二路1號2樓
224,泰山區,新北市立泰山國民中學附設幼兒園,(02)22962519#171,[243]新北市泰山區山腳里10鄰泰林路二段498號
225,泰山區,新北市泰山區泰山國民小學附設幼兒園,(02)2909-8842#180,[243]新北市泰山區山腳里32鄰泰林路二段255號
226,泰山區,新北市立泰山幼兒園,(02)29099948#205,[243]新北市泰山區同榮里27鄰公園路52號1樓及2樓
227,泰山區,新北市泰山區同榮國民小學附設幼兒園,(02)22968551#150,[243]新北市泰山區義學里2鄰公園路33號
